created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Fri Dec 01 02:57:33 +0000 2023;1730420841903739357;"Kembali mengatakan pada semua org, bahwa istriny ditalak tahun 2021,sedangkan anaknya lahir 2022. mau ngurus surat perceraian gimana dar dar, wong kamu aja masih diperlakukan baik sama mama mertua dan bapak mertuamu kok, gak inget kamu disuapin opor ayam pas mau ke jepang?🤭 https://t.co/iA9zSDVLtP";1;1;3;24;in;1573562481624039424;1730190808392118705;nikyunikyu996;https://twitter.com/nikyunikyu996/status/1730420841903739357
Fri Dec 01 02:39:17 +0000 2023;1730416246003490866;"BCL Akan Menikah dengan Duda Cerai Hidup, Terungkap Penyebab Perceraian hingga Pekerjaan Tiko Wardhana https://t.co/JiaSMZWW6G";0;0;0;0;in;2985307064;1730416246003490866;ayobandungcom;https://twitter.com/ayobandungcom/status/1730416246003490866
Fri Dec 01 02:37:14 +0000 2023;1730415731282747747;"Didalam replik sudar, dia tidak mengakui adanya perselingkuhan dan tetap kekeuh bahwa penyebab perceraian mereka adalah sifat istrinya yg tidak patuh thd suami, dan tidak mau diajak susah, padahal video dibawah saat Sudar bekerja di salah satu LPK, istrinya senantiasa menemani https://t.co/7Yi8EnnYOY";2;1;4;21;in;1573562481624039424;1730190808392118705;nikyunikyu996;https://twitter.com/nikyunikyu996/status/1730415731282747747
Fri Dec 01 02:21:40 +0000 2023;1730411811542106532;"Apa aja sih alasan bisa mengajukan perceraian? mau tau jawabannya? tonton ya sampe abis 😃 buat tau info hukum keluarga lainnya jangan lupa like follow and share ya! #perceraian #cerai #hukumkeluarga #familylawid #artiscerai #viral #emangboleh #gwenchana #fyp https://t.co/YRc9RxaHkY";0;0;0;0;in;1700758769259646976;1730411811542106532;FamilyLawID;https://twitter.com/FamilyLawID/status/1730411811542106532
Fri Dec 01 01:40:36 +0000 2023;1730401480241209643;"Ammar Zoni kembali tak menghadiri sidang perceraian atas gugatan Irish Bella. https://t.co/jXTtWBtNRb";0;1;0;0;in;48890883;1730401480241209643;1nserttranstv;https://twitter.com/1nserttranstv/status/1730401480241209643
Fri Dec 01 01:25:26 +0000 2023;1730397661269028982;"tinggi nya angka perceraian karena mis komunikasi, milikilah self awareness. Gak masalah kamu dianggap ideal mencari pasangan, terlalu pemilih mereka yg ngomong gitu juga ga ikut membiayai kebutuhan mu apa lagi kebutuhan pernikahan mu kelak";0;0;0;0;in;4848215978;1730397658882420752;lisawidiastuti5;https://twitter.com/lisawidiastuti5/status/1730397661269028982
Fri Dec 01 00:34:10 +0000 2023;1730384760688759030;"Kalau dalam term ekonomi ya... panai besar² ini, dibeberapa suku di Indonesia.  boleh jadi sengaja dimunculkan sbg pagar utk mencegah perceraian.  artinya yang menikah hanya yang mampu secara ekonomi.";0;4;18;68;in;1901591046;1730384760688759030;direktoridosen;https://twitter.com/direktoridosen/status/1730384760688759030
Thu Nov 30 23:14:53 +0000 2023;1730364807994544520;"@paco_rabannee @mujahidriza_ @chujakucen Apa pula falasi mengenepikan yg memang ada org sukakan ketidaksempurnaan seseorang?  The key is to know, understand, accept and manage. Xperlu kahwin kalau xmampu terima pasangan begitu &amp  perceraian mmg satu cara kalau dah terkahwin then tersedar diri yg diri tak mampu terima.";0;1;0;2;in;1419529138457616389;1730119156081811800;h4n1my;https://twitter.com/h4n1my/status/1730364807994544520
Thu Nov 30 23:05:28 +0000 2023;1730362436388278384;"Yth. @ListyoSigitP, @DivHumas_Polri, Mohon ijin bapak bantu &amp  permudah proses perceraian saya untuk lepas dari suami saya kompol Alam bawono, S.I.K 🙏🏻🙏🏻";0;0;0;0;in;1367078245124829184;1730362436388278384;gausahstalkya;https://twitter.com/gausahstalkya/status/1730362436388278384
Thu Nov 30 22:40:42 +0000 2023;1730356206777328045;"ㅤ  ㅤ  “Kalau Mama nggak mau Asmara kecil harus bolak-balik—sebentar ke rumah Papa, terus sebentar ke rumah Mama, atau gimana pun itu—artinya Mama berhasil. Selama ini, aku hidup tanpa banyak orang yang tahu kalau aku pernah rasain perceraian orang tuaku, Ma.” ㅤ  ㅤ";0;1;0;0;in;984781909304664064;1728013412586946692;konstelasea;https://twitter.com/konstelasea/status/1730356206777328045
Thu Nov 30 22:07:45 +0000 2023;1730347914025922589;"Pilih absen dari persidangan, kuasa hukum Ammar Zoni diperintahkan untuk persulit perceraian dengan Irish Bella, ini alasannya.  https://t.co/lOBPFzloAT";0;0;0;0;in;1675792740876161024;1730347914025922589;Jember_Network;https://twitter.com/Jember_Network/status/1730347914025922589
Thu Nov 30 18:32:59 +0000 2023;1730293864081051744;"Ya gimana di society kita juga cerai itu jg dipandang sbg aib, naak-anak dr perceraian lgsg di label “broken home” pdhl mah blm tentu jg mereka broken.";0;1;0;0;in;157923213;1730293864081051744;dyadona;https://twitter.com/dyadona/status/1730293864081051744
Thu Nov 30 17:37:52 +0000 2023;1730279994683765218;"ㅤ  “Lun, terima kasih banyak ya sudah mau saya repotin terus selama tiga tahun ini. Bantuin saya dalam segala hal, sampai sidang perceraian dan hak asuh pun kamu ikut bantu. Saya juga senang bisa bantu momong Sena selama ini.”  ㅤ";0;1;0;0;in;1416963113568534532;1711414385200320559;FAlTEAVECAMOUR;https://twitter.com/FAlTEAVECAMOUR/status/1730279994683765218
Thu Nov 30 17:32:41 +0000 2023;1730278692084183060;"Dalam 1 hari denger 3 berita perceraian 😢  Dan semua dengan masalah yg sama “suami selingkuh” . Amit2 ya allah jauhkan aku sama laki2 brengsek kaya gitu😭";0;0;0;0;in;385370377;1730278692084183060;Vinaa294;https://twitter.com/Vinaa294/status/1730278692084183060
Thu Nov 30 17:29:50 +0000 2023;1730277974279385411;"Semua cerita ato berita perselingkuhan perceraian retaknya relationship sedang ga relate sama akuuuu... Soalnya aku lagi di baperin au 😭😭😭";0;0;0;0;in;1235471170570309637;1730277974279385411;Itiknyambat_;https://twitter.com/Itiknyambat_/status/1730277974279385411
